"Gene"	"AIS_vs_Normal"	"MIA_vs_Normal"	"LUAD_vs_Normal"	"MIA_vs_AIS"	"LUAD_vs_AIS"	"LUAD_vs_MIA"
"CBLN4"	-2.76917959772221	-2.35262785528061	-1.96999704744256	0.416551742441602	0.799182550279659	0.38263080783806
"KCNH2"	-1.12318928543871	-0.895067182873918	-0.313481530534314	0.228122102564791	0.809707754904393	0.581585652339603
"MCOLN3"	-0.144432356996692	-0.48390362790801	-1.15364708601622	-0.339471270911318	-1.00921472901953	-0.669743458108209
"CCDC85A"	-2.18901179598918	-2.06356140392375	-2.68724122644501	0.125450392065433	-0.498229430455831	-0.623679822521261
"GYG2"	1.57201597959939	1.92839306576355	2.08708251501302	0.356377086164162	0.515066535413627	0.158689449249468
"TMCC3"	-0.64957422697955	-0.549920577308233	-1.09235021106718	0.0996536496713222	-0.44277598408763	-0.542429633758945
"RASGRF1"	0.539323078481351	0.388439959702322	-0.72760857279032	-0.150883118779031	-1.26693165127167	-1.11604853249264
"DGKG"	-0.807036123832093	-0.755567292809951	-1.07751669800085	0.0514688310221344	-0.270480574168761	-0.321949405190901
"SLC2A3"	0.318175680060298	-0.507481689203182	-1.0871099841445	-0.825657369263478	-1.4052856642048	-0.579628294941322
"STYK1"	0.940923552945625	0.818732004783765	2.14630774271871	-0.122191548161861	1.20538418977308	1.32757573793494
"COL11A1"	0.29282741388871	2.32715761040621	6.33547707338537	2.0343301965175	6.04264965949666	4.00831946297916
"BCAT1"	2.16773729227347	1.6114837680666	1.16450508194754	-0.556253524206866	-1.00323221032593	-0.446978686119059
"SPAG4"	0.748947952087243	0.434228723925366	1.30501510082046	-0.314719228161874	0.556067148733214	0.870786376895089
"CDH3"	2.2562140605891	2.15357249811138	2.95830596443098	-0.102641562477721	0.702091903841874	0.804733466319594
"DGAT2"	0.653047422612496	0.973807706757156	1.42567776507764	0.320760284144658	0.772630342465137	0.451870058320485
"VMP1"	1.27009112020603	1.12344354418093	1.77139412586248	-0.146647576025107	0.501303005656444	0.647950581681552
"LIMCH1"	-0.823590652459586	-0.796310697410367	-1.41087450570383	0.027279955049221	-0.587283853244245	-0.614563808293464
"DLX3"	1.11854394180865	1.74313445464852	2.09415042751157	0.624590512839875	0.975606485702922	0.351015972863051
"WISP2"	-1.59127997274911	-1.49519595235633	-2.18548930267041	0.0960840203927779	-0.594209329921297	-0.690293350314074
"EYA2"	-0.501645337728366	0.792716037456215	1.41464855858061	1.29436137518458	1.91629389630898	0.62193252112439
"BCAS1"	0.775895212711676	1.10064627955487	1.58311338149836	0.324751066843192	0.807218168786686	0.482467101943489
"CALCRL"	-1.14446700694251	-1.04971550487348	-2.13381463586598	0.0947515020690433	-0.989347628923466	-1.08409913099251
"ANKS1A"	-0.759829323983741	-0.652146633814548	-1.01934314397842	0.107682690169196	-0.25951381999468	-0.367196510163874
"SLC9A3R2"	-1.083806692187	-0.915068137415673	-1.26000695428223	0.16873855477133	-0.176200262095226	-0.344938816866558
"NTN1"	-1.09006655725465	-0.670847330291837	-0.526881840397386	0.419219226962813	0.563184716857254	0.143965489894451
"GLP2R"	-3.46120071149032	-2.80646501041784	-2.82318496242371	0.654735701072476	0.638015749066605	-0.0167199520058709
"MCM10"	0.317290836637692	0.451379864929283	1.99000627168841	0.134089028291584	1.67271543505072	1.53862640675913
"ERBB3"	0.654015796696667	0.759497603886519	1.03398045698977	0.105481807189859	0.379964660293113	0.274482853103248
"MYLK"	-1.00207856333509	-0.737660890437163	-1.07544434372871	0.264417672897923	-0.073365780393619	-0.337783453291547
"COL17A1"	0.512466263101333	1.77227289303841	3.1656384975269	1.25980662993707	2.65317223442556	1.39336560448849
"PRKCQ"	0.378863681064355	-0.123025131002678	-0.789926680098567	-0.501888812067027	-1.16879036116292	-0.66690154909589
